//X;Y;Z;C2C absolute distances;Nx;Ny;Nz
385.90;145.30;44.39;1.51;0.296545;-0.390831;0.871385
386.91;148.73;45.01;0.63;0.495568;-0.439590;0.749115
388.06;145.80;42.53;0.95;0.426310;-0.423093;0.799533
390.43;152.50;44.36;0.33;-0.043925;-0.284882;0.957556
385.45;189.74;46.03;1.87;0.530040;0.292709;0.795851
385.57;191.25;45.12;1.73;0.215916;0.540555;0.813130
386.18;189.84;45.65;1.20;0.418497;0.516967;0.746730
387.01;187.42;46.24;0.90;0.435008;0.641678;0.631678
387.26;188.50;45.42;1.02;0.305415;0.406708;0.860994
387.80;187.68;46.27;0.34;-0.064543;0.623917;0.778821
389.36;181.55;46.59;1.54;0.318770;0.324756;0.890460
387.67;190.17;44.48;0.97;0.567118;0.349371;0.745866
388.10;189.47;44.60;0.85;-0.046486;0.584600;0.809989
387.55;191.63;43.58;1.15;0.593011;0.426901;0.682710
388.37;189.61;44.70;0.59;-0.079369;0.616191;0.783587
388.33;189.58;44.38;0.83;-0.082382;0.614252;0.784798
388.49;190.04;44.13;0.80;0.006913;0.634577;0.772829
387.77;192.86;42.82;1.12;0.532908;0.382977;0.754545
390.77;184.41;44.81;0.60;0.419936;0.423154;0.802866
391.15;183.84;44.93;0.41;0.437861;0.447627;0.779685
390.35;187.11;43.66;1.00;0.751106;0.152639;0.642294
388.51;194.67;40.88;1.32;0.585938;0.475130;0.656452
388.97;193.92;41.28;1.08;0.387742;0.548075;0.741128
388.74;194.69;40.57;1.37;0.588824;0.481460;0.649216
389.32;193.50;41.31;1.05;0.437222;0.450224;0.778547
389.25;193.76;41.13;1.09;0.443644;0.509613;0.737207
389.73;193.77;40.73;1.08;0.421999;0.551081;0.719880
392.16;185.65;43.13;0.64;0.438839;0.488147;0.754409
391.86;186.86;42.65;0.83;0.343615;0.454458;0.821825
392.21;186.40;42.57;0.79;0.433174;0.505644;0.746113
392.05;188.17;41.95;0.81;0.498112;0.384536;0.777185
390.90;193.42;41.09;0.36;-0.035328;0.719269;0.693833
390.92;194.17;40.38;0.42;-0.058814;0.718675;0.692854
393.03;186.13;42.39;0.50;0.350101;0.534024;0.769576
392.45;190.47;40.73;0.65;0.776154;0.049662;0.628585
391.40;194.95;39.46;0.42;0.098536;0.733872;0.672103
393.60;189.50;39.66;0.96;0.528508;0.423135;0.735959
392.92;195.95;37.86;1.38;0.304357;0.648972;0.697282
393.00;196.07;37.57;1.59;0.280103;0.693054;0.664243
394.31;191.00;38.68;0.63;0.813378;0.115778;0.570098
394.61;190.12;38.48;0.84;0.592765;0.452505;0.666235
395.36;190.45;38.22;0.37;0.073954;0.729391;0.680088
395.45;191.98;36.62;0.74;0.498564;0.508569;0.701991
395.46;195.87;34.96;1.19;0.958627;0.008548;0.284535
396.01;193.59;35.05;0.66;0.542415;0.515546;0.663324
396.15;193.51;34.80;0.74;0.488914;0.599802;0.633404
396.46;194.32;33.91;0.71;0.507882;0.609121;0.609121
396.75;195.37;32.77;0.88;0.372641;0.615596;0.694392
397.30;193.90;34.01;0.30;0.159114;0.734954;0.659186
397.14;195.48;32.50;0.74;0.238041;0.570987;0.785691
400.37;185.81;34.83;0.27;0.854283;0.245169;0.458359
400.22;186.79;34.44;0.33;0.773584;0.405521;0.486951
400.36;186.50;34.34;0.32;0.834785;0.317939;0.449499
400.87;185.77;33.88;0.37;0.867706;0.230085;0.440620
400.66;188.62;32.59;0.40;0.794901;0.358107;0.489787
400.64;189.01;32.38;0.41;0.788814;0.337606;0.513609
401.08;188.60;31.88;0.46;0.821788;0.303260;0.482388
400.86;190.45;30.84;0.55;0.492552;0.627038;0.603503
400.78;191.37;30.13;0.63;0.736415;0.385429;0.556001
