//X;Y;Z;C2C absolute distances;Nx;Ny;Nz
388.75;188.15;45.49;0.22;0.475884;0.382320;0.792064
389.07;189.00;44.91;0.21;0.275870;0.494072;0.824493
392.59;184.01;43.99;0.21;0.254097;0.534694;0.805939
392.71;184.56;43.69;0.23;0.274879;0.529339;0.802647
390.77;193.05;41.65;0.17;0.095508;0.695003;0.712635
392.22;195.09;39.25;0.07;0.193031;0.718076;0.668660
393.64;193.62;38.78;0.09;0.701931;0.189753;0.686504
395.08;188.12;40.29;0.07;0.018185;0.678458;0.734414
395.14;188.43;40.15;0.12;-0.018159;0.657901;0.752885
397.25;192.76;35.38;0.21;0.144548;0.806193;0.573723
399.72;184.75;36.59;0.19;0.822132;0.262647;0.505090
400.13;183.66;36.41;0.13;0.833707;0.291408;0.469057
399.92;186.16;35.42;0.20;0.850126;0.251833;0.462456
403.57;185.58;30.08;0.24;0.154002;0.433222;0.888033
403.65;190.34;27.51;0.18;-0.211306;0.383265;0.899143
403.18;194.71;24.23;0.18;-0.285455;0.537791;0.793282
403.22;194.42;24.47;0.15;-0.386077;0.566794;0.727797
403.42;191.89;26.20;0.19;-0.388992;0.469695;0.792510
404.20;189.08;27.36;0.09;0.688472;0.348324;0.636142
403.49;191.34;26.52;0.20;-0.370321;0.643535;0.669869
403.41;191.65;26.49;0.12;-0.410231;0.432754;0.802767
405.24;189.71;24.40;0.17;-0.894121;-0.287130;-0.343664
405.48;185.74;27.25;0.08;0.289923;0.418777;0.860564
399.65;184.31;36.79;0.22;0.850665;0.255047;0.459695
394.09;186.42;42.00;0.09;0.126293;0.616608;0.777074
390.12;189.58;43.94;0.19;0.791951;0.032239;0.609733
389.55;190.14;44.19;0.21;0.238912;0.522524;0.818468
392.56;184.87;43.67;0.25;0.308463;0.501450;0.808331
391.74;183.33;44.87;0.21;0.215359;0.529997;0.820197
390.75;149.29;42.86;0.25;0.049328;-0.587707;0.807569
390.77;152.57;44.42;0.19;-0.286051;-0.263052;0.921400
390.82;171.17;47.90;0.07;0.489580;-0.086065;0.867700
405.40;176.71;30.70;0.22;0.403370;0.152511;0.902238
405.40;177.78;30.52;0.12;0.339556;0.181754;0.922858
405.09;183.89;28.57;0.17;0.586775;0.386253;0.711691
397.32;193.17;34.92;0.14;0.791869;0.489899;0.364613
394.22;193.76;38.15;0.14;0.845947;0.031637;0.532328
389.21;188.33;45.21;0.24;0.634000;0.233249;0.737319
392.96;185.96;42.93;0.21;0.381011;0.557616;0.737492
405.45;178.23;30.33;0.16;0.356243;0.193144;0.914214
408.52;168.95;25.30;0.21;0.610484;-0.085555;0.787394
409.60;167.41;22.80;0.13;0.740662;-0.064718;0.668753
408.73;167.46;25.02;0.18;0.509475;-0.098470;0.854833
408.74;164.95;24.75;0.08;0.621529;-0.181725;0.762022
404.85;164.79;31.85;0.18;0.351796;0.011430;0.936007
409.16;164.62;23.81;0.17;0.992313;0.005470;-0.123629
408.69;164.64;24.59;0.12;0.621569;-0.148996;0.769060
407.29;164.63;27.80;0.22;0.577865;-0.131534;0.805463
395.06;165.40;43.77;0.22;0.521173;0.305734;0.796809
392.28;165.64;46.53;0.09;-0.418574;-0.201209;0.885613
390.82;165.79;47.57;0.09;-0.483621;-0.163167;0.859934
408.91;164.87;24.51;0.21;0.684615;-0.156353;0.711939
408.49;165.08;24.90;0.20;0.599259;-0.174468;0.781313
396.07;165.60;42.81;0.23;0.225195;-0.200923;0.953371
390.86;166.07;47.73;0.15;-0.474400;-0.199039;0.857513
409.69;166.25;22.52;0.09;0.664509;-0.098283;0.740789
408.92;165.45;24.58;0.07;0.708863;-0.108031;0.697024
409.47;164.98;22.51;0.19;0.743282;-0.126611;0.656888
409.34;164.24;22.60;0.22;0.819446;-0.084671;0.566867
407.47;162.56;27.03;0.20;0.840854;-0.174742;0.512279
409.48;162.54;21.99;0.19;0.779708;-0.177828;0.600360
409.33;161.92;21.95;0.24;0.849043;-0.239317;0.471013
408.89;161.53;22.89;0.22;0.838015;-0.037399;0.544364
407.25;161.30;26.89;0.14;0.689288;-0.283072;0.666898
391.15;160.05;46.28;0.23;-0.570197;-0.469869;0.673869
408.14;160.07;24.00;0.21;0.670697;-0.220439;0.708218
409.11;159.85;21.59;0.25;0.838192;-0.181433;0.514311
407.33;159.54;26.26;0.11;0.765645;-0.249974;0.592707
391.58;158.02;45.47;0.17;0.736517;0.335075;-0.587595
405.25;157.36;29.30;0.11;0.335256;-0.419460;0.843598
408.46;156.91;22.27;0.10;0.521119;-0.284962;0.804507
408.16;156.92;22.52;0.19;0.727189;-0.213330;0.652446
405.27;155.73;28.41;0.13;0.296897;-0.388249;0.872419
390.79;152.26;44.29;0.20;-0.187106;-0.210991;0.959413
390.55;151.93;44.28;0.15;-0.135195;-0.155040;0.978614
407.43;152.40;21.67;0.09;0.845496;-0.299414;0.442140
405.07;151.82;26.36;0.18;0.160996;-0.497757;0.852243
