//X;Y;Z;Nx;Ny;Nz
406.00;146.10;18.95;-0.836939;0.362726;-0.409833
406.15;146.48;18.97;-0.836939;0.362726;-0.409833
406.17;146.96;19.35;-0.836939;0.362726;-0.409833
405.86;146.20;19.32;-0.836939;0.362726;-0.409833
406.73;146.33;17.65;-0.836939;0.362726;-0.409833
406.58;147.17;18.70;-0.836939;0.362726;-0.409833
406.69;146.69;18.07;-0.836939;0.362726;-0.409833
406.84;146.16;17.30;-0.836939;0.362726;-0.409833
406.86;147.53;18.46;-0.836939;0.362726;-0.409833
406.17;146.02;18.52;-0.836939;0.362726;-0.409833
406.73;147.09;18.32;-0.836939;0.362726;-0.409833
406.62;147.77;19.16;-0.836939;0.362726;-0.409833
406.74;148.46;19.52;-0.836939;0.362726;-0.409833
406.33;146.41;18.55;-0.836939;0.362726;-0.409833
406.53;148.07;19.60;-0.836939;0.362726;-0.409833
406.41;147.69;19.52;-0.836939;0.362726;-0.409833
406.74;148.15;19.25;-0.836939;0.362726;-0.409833
406.32;146.85;18.95;-0.836939;0.362726;-0.409833
406.88;146.71;17.69;-0.836939;0.362726;-0.409833
406.33;145.97;18.15;-0.836939;0.362726;-0.409833
406.68;147.54;18.84;-0.836939;0.362726;-0.409833
406.52;146.77;18.47;-0.836939;0.362726;-0.409833
406.01;146.57;19.35;-0.836939;0.362726;-0.409833
406.93;148.17;18.86;-0.836939;0.362726;-0.409833
406.93;148.49;19.15;-0.836939;0.362726;-0.409833
406.53;146.31;18.05;-0.836939;0.362726;-0.409833
406.33;147.33;19.36;-0.836939;0.362726;-0.409833
406.66;145.80;17.35;-0.836939;0.362726;-0.409833
406.49;145.87;17.74;-0.836939;0.362726;-0.409833
407.65;150.45;19.25;-0.856674;0.310255;-0.412130
408.14;151.37;18.92;-0.856674;0.310255;-0.412130
408.00;150.99;18.93;-0.856674;0.310255;-0.412130
407.79;149.26;18.06;-0.856674;0.310255;-0.412130
407.52;150.59;19.62;-0.856674;0.310255;-0.412130
407.93;149.67;18.06;-0.856674;0.310255;-0.412130
407.51;150.07;19.25;-0.856674;0.310255;-0.412130
407.29;149.86;19.56;-0.856674;0.310255;-0.412130
407.40;149.66;19.17;-0.856674;0.310255;-0.412130
407.93;149.15;17.67;-0.856674;0.310255;-0.412130
407.14;149.47;19.58;-0.856674;0.310255;-0.412130
407.78;150.86;19.28;-0.856674;0.310255;-0.412130
408.14;150.52;18.29;-0.856674;0.310255;-0.412130
407.53;149.53;18.80;-0.856674;0.310255;-0.412130
408.13;149.46;17.50;-0.856674;0.310255;-0.412130
408.18;150.18;17.94;-0.856674;0.310255;-0.412130
407.92;150.31;18.59;-0.856674;0.310255;-0.412130
408.19;152.06;19.35;-0.856674;0.310255;-0.412130
408.19;149.17;17.15;-0.856674;0.310255;-0.412130
407.66;151.00;19.65;-0.856674;0.310255;-0.412130
408.15;149.82;17.72;-0.856674;0.310255;-0.412130
407.72;150.19;18.91;-0.856674;0.310255;-0.412130
407.89;150.60;18.87;-0.856674;0.310255;-0.412130
408.12;150.83;18.55;-0.856674;0.310255;-0.412130
407.93;151.27;19.29;-0.856674;0.310255;-0.412130
407.73;149.88;18.66;-0.856674;0.310255;-0.412130
407.33;149.20;18.96;-0.856674;0.310255;-0.412130
407.93;150.00;18.32;-0.856674;0.310255;-0.412130
407.52;149.18;18.55;-0.856674;0.310255;-0.412130
407.73;149.52;18.37;-0.856674;0.310255;-0.412130
408.15;151.70;19.14;-0.856674;0.310255;-0.412130
405.52;146.33;20.24;-0.859614;0.371934;-0.350327
405.93;147.23;20.17;-0.859614;0.371934;-0.350327
406.32;148.40;20.47;-0.859614;0.371934;-0.350327
406.46;148.78;20.52;-0.859614;0.371934;-0.350327
405.51;146.61;20.54;-0.859614;0.371934;-0.350327
405.71;146.26;19.69;-0.859614;0.371934;-0.350327
406.08;147.62;20.22;-0.859614;0.371934;-0.350327
405.71;146.96;20.42;-0.859614;0.371934;-0.350327
405.73;146.69;20.10;-0.859614;0.371934;-0.350327
405.86;147.40;20.52;-0.859614;0.371934;-0.350327
406.11;147.97;20.52;-0.859614;0.371934;-0.350327
407.29;150.46;20.07;-0.880462;0.319755;-0.350063
407.40;151.11;20.41;-0.880462;0.319755;-0.350063
407.26;150.73;20.41;-0.880462;0.319755;-0.350063
406.83;149.51;20.36;-0.880462;0.319755;-0.350063
407.08;150.16;20.35;-0.880462;0.319755;-0.350063
407.01;149.55;19.96;-0.880462;0.319755;-0.350063
407.13;149.94;20.01;-0.880462;0.319755;-0.350063
407.53;151.51;20.42;-0.880462;0.319755;-0.350063
407.72;152.25;20.63;-0.880462;0.319755;-0.350063
408.03;152.99;20.47;-0.897533;0.267633;-0.350437
408.43;153.93;20.14;-0.897533;0.267633;-0.350437
408.21;153.11;20.09;-0.897533;0.267633;-0.350437
408.33;153.52;20.09;-0.897533;0.267633;-0.350437
408.41;154.22;20.41;-0.897533;0.267633;-0.350437
408.53;154.61;20.39;-0.897533;0.267633;-0.350437
408.13;153.40;20.52;-0.897533;0.267633;-0.350437
407.88;152.60;20.54;-0.897533;0.267633;-0.350437
408.11;152.71;20.03;-0.897533;0.267633;-0.350437
408.23;153.80;20.55;-0.897533;0.267633;-0.350437
409.13;156.97;20.45;-0.912378;0.211879;-0.350249
409.00;156.58;20.57;-0.912378;0.211879;-0.350249
409.08;156.05;20.04;-0.912378;0.211879;-0.350249
409.32;157.27;20.15;-0.912378;0.211879;-0.350249
409.26;156.88;20.07;-0.912378;0.211879;-0.350249
408.89;155.80;20.37;-0.912378;0.211879;-0.350249
409.18;157.36;20.57;-0.912378;0.211879;-0.350249
408.93;156.19;20.50;-0.912378;0.211879;-0.350249
409.13;155.77;19.74;-0.912378;0.211879;-0.350249
409.13;156.47;20.16;-0.912378;0.211879;-0.350249
409.43;158.20;20.42;-0.912378;0.211879;-0.350249
409.36;157.78;20.37;-0.912378;0.211879;-0.350249
409.63;159.01;20.40;-0.923153;0.157816;-0.350547
409.70;159.84;20.57;-0.923153;0.157816;-0.350547
409.83;160.62;20.57;-0.923153;0.157816;-0.350547
409.81;160.22;20.45;-0.923153;0.157816;-0.350547
409.94;160.99;20.45;-0.923153;0.157816;-0.350547
409.99;160.57;20.14;-0.923153;0.157816;-0.350547
409.99;161.44;20.52;-0.923153;0.157816;-0.350547
410.05;161.84;20.55;-0.923153;0.157816;-0.350547
409.88;159.69;20.04;-0.923153;0.157816;-0.350547
409.78;159.28;20.12;-0.923153;0.157816;-0.350547
409.94;160.12;20.07;-0.923153;0.157816;-0.350547
409.67;159.43;20.49;-0.923153;0.157816;-0.350547
410.35;163.05;20.19;-0.931228;0.101367;-0.350055
410.33;163.45;20.35;-0.931228;0.101367;-0.350055
410.20;162.64;20.46;-0.931228;0.101367;-0.350055
410.32;163.84;20.49;-0.931228;0.101367;-0.350055
410.35;162.66;20.08;-0.931228;0.101367;-0.350055
410.20;163.06;20.57;-0.931228;0.101367;-0.350055
410.34;164.27;20.56;-0.931228;0.101367;-0.350055
410.52;166.05;20.54;-0.935625;0.045545;-0.350046
410.60;168.05;20.57;-0.935625;0.045545;-0.350046
410.53;166.45;20.56;-0.935625;0.045545;-0.350046
410.60;167.65;20.53;-0.935625;0.045545;-0.350046
410.54;165.65;20.43;-0.935625;0.045545;-0.350046
410.59;167.25;20.50;-0.935625;0.045545;-0.350046
410.68;165.75;20.06;-0.935625;0.045545;-0.350046
410.71;166.15;20.03;-0.935625;0.045545;-0.350046
410.59;166.84;20.44;-0.935625;0.045545;-0.350046
410.72;166.56;20.07;-0.935625;0.045545;-0.350046
410.99;169.58;19.67;-0.936656;0.008848;-0.350140
410.83;169.46;20.09;-0.936656;0.008848;-0.350140
410.85;169.06;20.02;-0.936656;0.008848;-0.350140
410.99;169.13;19.65;-0.936656;0.008848;-0.350140
410.73;169.73;20.37;-0.936656;0.008848;-0.350140
410.68;169.27;20.49;-0.936656;0.008848;-0.350140
410.86;169.86;20.01;-0.936656;0.008848;-0.350140
410.92;167.50;19.66;-0.935625;0.045545;-0.350046
410.68;168.86;20.48;-0.935625;0.045545;-0.350046
410.80;168.63;20.13;-0.935625;0.045545;-0.350046
410.83;165.85;19.68;-0.935625;0.045545;-0.350046
410.90;167.08;19.65;-0.935625;0.045545;-0.350046
410.87;166.66;19.66;-0.935625;0.045545;-0.350046
410.75;167.40;20.10;-0.935625;0.045545;-0.350046
410.65;168.46;20.49;-0.935625;0.045545;-0.350046
410.94;168.74;19.75;-0.935625;0.045545;-0.350046
410.75;167.80;20.15;-0.935625;0.045545;-0.350046
410.94;168.33;19.71;-0.935625;0.045545;-0.350046
410.94;167.91;19.65;-0.935625;0.045545;-0.350046
410.75;166.98;20.05;-0.935625;0.045545;-0.350046
410.78;168.22;20.12;-0.935625;0.045545;-0.350046
410.86;166.26;19.65;-0.935625;0.045545;-0.350046
410.54;163.01;19.67;-0.931228;0.101367;-0.350055
410.58;164.89;20.11;-0.931228;0.101367;-0.350055
410.48;163.66;20.03;-0.931228;0.101367;-0.350055
410.64;165.32;20.06;-0.931228;0.101367;-0.350055
410.49;162.60;19.68;-0.931228;0.101367;-0.350055
410.46;164.04;20.17;-0.931228;0.101367;-0.350055
410.81;165.45;19.65;-0.931228;0.101367;-0.350055
410.63;163.84;19.67;-0.931228;0.101367;-0.350055
410.73;165.04;19.76;-0.931228;0.101367;-0.350055
410.52;164.45;20.14;-0.931228;0.101367;-0.350055
410.49;165.21;20.43;-0.931228;0.101367;-0.350055
410.68;164.25;19.66;-0.931228;0.101367;-0.350055
410.71;164.65;19.68;-0.931228;0.101367;-0.350055
410.57;163.44;19.70;-0.931228;0.101367;-0.350055
410.24;160.98;19.67;-0.923153;0.157816;-0.350547
410.14;161.38;20.10;-0.923153;0.157816;-0.350547
410.04;159.77;19.66;-0.923153;0.157816;-0.350547
410.14;162.23;20.48;-0.923153;0.157816;-0.350547
410.38;161.80;19.67;-0.923153;0.157816;-0.350547
410.10;160.97;20.05;-0.923153;0.157816;-0.350547
410.45;162.20;19.65;-0.923153;0.157816;-0.350547
410.23;161.84;20.07;-0.923153;0.157816;-0.350547
